id,name,reviews.rating,reviews.text,reviews.title,reviews.date,reviews.username
1,Fire Tablet 7,5,"Absolutely love this tablet! The screen is bright and clear, battery lasts all day, and it's perfect for kids. Great value for the price.","Amazing tablet!",2024-01-15,john_doe
2,Fire Tablet 7,4,"Good tablet for the price. The battery life is decent but could be better. Apps load quickly and the display is nice.","Good value",2024-01-18,sarah_m
3,Fire Tablet 7,2,"Battery drains way too fast. After just 3 hours of use it dies. Very disappointed with the battery life. Screen is okay though.","Battery issues",2024-01-22,mike_r
4,Fire Tablet 7,1,"Terrible product. Screen cracked after one week. Customer service was unhelpful. Would not recommend. Complete waste of money.","Awful quality",2024-02-01,angry_buyer
5,Fire Tablet 7,3,"It's okay for basic use. Nothing special. The camera is terrible and storage is limited. Fine for reading and streaming.","Average tablet",2024-02-05,neutral_user
6,Fire Tablet 7,5,"Kids love it! Parental controls are great and it's very durable. Dropped it several times and still works perfectly.","Perfect for kids",2024-02-10,parent123
7,Fire Tablet 7,1,"Stopped working after 2 weeks. Won't turn on at all. Amazon refused to replace it. Terrible experience all around.","Dead on arrival",2024-02-15,unhappy_customer
8,Fire Tablet 7,4,"Nice little tablet. Fast enough for everyday use. The Alexa integration is a nice bonus. Packaging was excellent.","Solid purchase",2024-02-20,tech_lover
9,Fire Tablet 7,2,"The screen resolution is poor. Text looks blurry and videos don't look great. For the price I expected better display quality.","Poor display",2024-03-01,reviewer99
10,Fire Tablet 7,5,"Best budget tablet on the market! Fast delivery, great packaging, and the tablet itself exceeds expectations. Battery is solid.","Exceeded expectations",2024-03-05,happy_shopper
11,Echo Dot 4th Gen,5,"Amazing sound quality for such a small speaker. Alexa responds quickly and the setup was incredibly easy. Love it!","Great smart speaker",2024-01-10,music_fan
12,Echo Dot 4th Gen,4,"Good sound, easy setup. Sometimes Alexa misunderstands commands but overall a solid smart speaker. Nice design too.","Solid speaker",2024-01-20,smart_home_guy
13,Echo Dot 4th Gen,1,"Privacy nightmare. It's always listening. I returned it immediately. Also the sound quality was not as good as advertised.","Privacy concerns",2024-01-25,privacy_first
14,Echo Dot 4th Gen,3,"Decent speaker for the price. Sound is okay but not great for music. Works well for alarms and timers. Delivery was fast.","It's okay",2024-02-01,casual_user
15,Echo Dot 4th Gen,5,"Bought 3 of these for my house. Multi-room audio is fantastic. Setup was seamless and sound quality is impressive.","Love the multi-room",2024-02-08,audiophile
16,Echo Dot 4th Gen,2,"Keeps disconnecting from WiFi. Very frustrating. Have to restart it multiple times a day. Not worth the hassle.","WiFi problems",2024-02-14,frustrated_user
17,Echo Dot 4th Gen,4,"Great little device. Use it every day for music, weather, and controlling smart lights. Battery life on the portable version is good.","Daily driver",2024-02-22,daily_user
18,Echo Dot 4th Gen,1,"Terrible sound quality. Sounds tinny and distorted at higher volumes. My old bluetooth speaker sounds 10x better.","Bad sound",2024-03-01,sound_critic
19,Echo Dot 4th Gen,5,"Perfect gift! My mom loves it. She uses it for music, audiobooks, and calling family. Very user friendly for seniors.","Great for seniors",2024-03-10,gift_giver
